code,nom,departement,tube,couleur_tube,delai,jeune,remarques
TP-INR,TP / INR (Taux de Prothrombine),Hématologie,Citrate de sodium (bleu),bleu,1h (urgent) / 4h (routine),Non,Tube sous-rempli = résultat FAUX. INR cible AVK : 2.0-3.0.
TCA,TCA (Temps de Céphaline Activée),Hématologie,Citrate de sodium (bleu),bleu,1h (urgent) / 4h (routine),Non,Allongé par l'héparine / déficits en facteurs.
GS-RH,Groupage sanguin ABO-Rhésus,Hématologie,EDTA (violet),violet,24-48h,Non,2 prélèvements DIFFÉRENTS obligatoires.
HIV,Sérologie HIV (VIH 1+2),Immunologie,Sec (rouge),rouge,24h,Non,Fenêtre ~6 semaines. Positif à confirmer (Western Blot).
HBS,Ag HBs (Hépatite B),Immunologie,Sec (rouge),rouge,24h,Non,Positif > 6 mois = hépatite B chronique.
HCV,Sérologie Hépatite C,Immunologie,Sec (rouge),rouge,24h,Non,Si positif : confirmer par PCR.
VDRL,VDRL / RPR (Syphilis),Immunologie,Sec (rouge),rouge,24-48h,Non,Faux positifs possibles. Confirmer par TPHA.
WIDAL,Sérodiagnostic de Widal,Immunologie,Sec (rouge),rouge,24-48h,Non,2 prélèvements à 15j d'intervalle recommandés.
ASLO,ASLO (Antistreptolysines O),Immunologie,Sec (rouge),rouge,24h,Non,Faire 2 dosages à 15j d'intervalle.
TSH,TSH (Thyréostimuline),Hormonologie,Sec (rouge),rouge,24h,Non,Si anormale compléter par T4L.
T4L,T4 libre (Thyroxine libre),Hormonologie,Sec (rouge),rouge,24h,Non,Doser T4L (pas T4 totale).
PSA,PSA total,Hormonologie,Sec (rouge),rouge,24h,Non,Élevé après TR / biopsie / éjaculation.
BHCG,β-HCG,Hormonologie,Sec (rouge),rouge,2h (urgent) / 24h (routine),Non,Positif dès 10 jours post-conception.
ECBU,ECBU (Cytobactériologique Urines),Microbiologie,Pot stérile,jaune,48-72h (culture),Non,Seuil ≥10⁵ UFC/mL classique.
HEMO,Hémocultures,Microbiologie,Flacons hémoculture,orange,24-48h (préliminaire),Non,Au moins 2 paires sur 2 sites. NE JAMAIS réfrigérer.
COPROC,Coproculture,Microbiologie,Pot stérile à selles,orange,48-72h (culture),Non,Préciser si recherche spécifique souhaitée.
PV,Prélèvement vaginal,Microbiologie,Écouvillon + milieu transport,orange,48-72h,Non,Préciser si grossesse (recherche SGB).
BK,Recherche de BK (Tuberculose),Microbiologie,Pot stérile,orange,ED 24h / culture 2-8 semaines,Non,3 prélèvements sur 3 jours. PCR GeneXpert dispo.
PALU,Goutte épaisse / Frottis (Paludisme),Microbiologie,EDTA (violet),violet,2-4h (URGENT),Non,URGENCE DIAGNOSTIQUE. TDR en complément.
CP II,C-propeptide du Procollagène de Type II,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709388/c-propeptide-du-procollagene-de-type-ii | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
S-C2C,C-terminal neoepitope du Collagène de Type II,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709393/c-terminal-neoepitope-du-collagene-de-type-ii | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
CICP,C-terminal propeptide de collagène de type I,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_24844477/c-terminal-propeptide-de-collagene-de-type-i | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
U-CTX II,C-terminal telopeptides du Collagène de Type-II contenant l’épitope EKGPDP,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709399/c-terminal-telopeptides-du-collagene-de-type-ii-contenant-l-epitope-ekgpdp | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
"C1,2C","C1,2C (Clivage de type I et II du collagène)",Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_24717150/c1-2c-clivage-de-type-i-et-ii-du-collagene | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
CTXS_E_I,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) IDS-iSYS,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23529301/ctxs-c-telopeptides-collagene-type-i-ids-isys | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
CTXS_R,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) Roche- Cobas e402 (Pure),Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_16040648/ctxs-c-telopeptides-collagene-type-i-roche-cobas-e402-pure | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
S-CTX I,CTXS : C-terminal telopeptides du Collagène de Type-I IDS-ELISA,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709219/ctxs-c-terminal-telopeptides-du-collagene-de-type-i-ids-elisa | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
h-COMP,Cartilage Oligomeric Matrix Protein,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_709378/cartilage-oligomeric-matrix-protein | discipline: Biologie Clinique > Chimie Clinique > BCML (BONE & CARTILAGE MARKERS LABORATORY)
CPTTFQ,Calprotectine Fécale Quantitative,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351995/calprotectine-fecale-quantitative | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse
CER,Ceruloplasmine,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351987/ceruloplasmine | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse
CHK,Chaînes Légères Kappa Totales,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351988/chaines-legeres-kappa-totales | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse
CHKU,Chaînes Légères Kappa Totales Urinaires,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351989/chaines-legeres-kappa-totales-urinaires | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse
CHL,Chaînes Légères Lambda Totales,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351990/chaines-legeres-lambda-totales | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse
CHLU,Chaînes Légères Lambda Totales urinaires,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351991/chaines-legeres-lambda-totales-urinaires | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse
LF,Chaînes Légères Libres Lambda,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_352024/chaines-legeres-libres-lambda | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse
KFL,Chaînes légères libres Kappa dans le LCR,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_15815456/chaines-legeres-libres-kappa-dans-le-lcr | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse
KF,Chaïnes Légères Libres Kappa,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_352023/chaines-legeres-libres-kappa | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse
CI_U,Citrate,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351992/citrate | discipline: Biologie Clinique > Chimie Clinique > Biochimie spécialisée-Protéines-Electrophorèse
CPT,C-Peptide,Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351697/c-peptide | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
C15X,CA 15-3 (Liquides de ponction),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21823991/ca-15-3-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
C15,CA 15.3,Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351708/ca-15-3 | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CEAX,CEA (Liquides de ponction),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21823960/cea-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CEA,CEA (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351706/cea-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CRPS,CRP Ultrasensible (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_642189/crp-ultrasensible-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CAX,Calcium (Liquides de ponction),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21716510/calcium-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CA,Calcium (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498470/calcium-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CAU,Calcium (Urines),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498478/calcium-urines | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
TRF_CAP,Capacité de fixation de la Transferrine (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498827/capacite-de-fixation-de-la-transferrine-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CLL,Chlorures (LCR),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498674/chlorures-lcr | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CLX,Chlorures (Liquide de ponction),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498677/chlorures-liquide-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CL,Chlorures (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498669/chlorures-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CLU,Chlorures (Urines),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498671/chlorures-urines | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
HDL,Cholestérol HDL (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496965/cholesterol-hdl-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
LDL,Cholestérol LDL (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496960/cholesterol-ldl-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CHTX,Cholestérol total (Liquides de ponction),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21716505/cholesterol-total-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CHT,Cholestérol total (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496853/cholesterol-total-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CHE,Cholinestérases (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498493/cholinesterases-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
C3X,Complément C3 (Liquides de ponction),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23659689/complement-c3-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
C3,Complément C3 (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23939841/complement-c3-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
C4X,Complément C4 (Liquide de ponction),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23532686/complement-c4-liquide-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
C4,Complément C4 (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_23939834/complement-c4-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
COR,Cortisol,Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351695/cortisol | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
TRF_COEF,Coéfficient de saturation de la transferrine (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_1851266/coefficient-de-saturation-de-la-transferrine-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CKL,Créatine kinase (LCR),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496847/creatine-kinase-lcr | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CKX,Créatine kinase (LPO),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_496850/creatine-kinase-lpo | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CK,Créatine kinase (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_481327/creatine-kinase-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CRX,Créatinine (Liquides de ponction),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_21716396/creatinine-liquides-de-ponction | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CR,Créatinine (Sang),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498839/creatinine-sang | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
CRU,Créatinine (Urines),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_498853/creatinine-urines | discipline: Biologie Clinique > Chimie Clinique > Corelab - Chimie/Hormonologie automatisée et Analyses délocalisées
C25_R,CA125 sur Cobas e402 (Pure),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_25087214/ca125-sur-cobas-e402-pure | discipline: Biologie Clinique > Chimie Clinique > Endocrinologie- Marqueurs Tumoraux- Fertilité- Anémie- Métabolisme Phosphocalcique- Explorations Fonctionnelles Rénales- Marqueurs Osseux et Cartilage
CTXS_I,CTXS (C-TELOPEPTIDES COLLAGENE TYPE I) IDS-iSYS,Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_393709/ctxs-c-telopeptides-collagene-type-i-ids-isys | discipline: Biologie Clinique > Chimie Clinique > Endocrinologie- Marqueurs Tumoraux- Fertilité- Anémie- Métabolisme Phosphocalcique- Explorations Fonctionnelles Rénales- Marqueurs Osseux et Cartilage
C19,Ca19.9 sur Cobas e402 (Pure),Hormonologie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_25087226/ca19-9-sur-cobas-e402-pure | discipline: Biologie Clinique > Chimie Clinique > Endocrinologie- Marqueurs Tumoraux- Fertilité- Anémie- Métabolisme Phosphocalcique- Explorations Fonctionnelles Rénales- Marqueurs Osseux et Cartilage
CAMC,Complexe d'attaque membranaire (SC5b9),Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_1917300/complexe-d-attaque-membranaire-sc5b9 | discipline: Biologie Clinique > Chimie Clinique > Immunité non infectieuse - Auto-immunité
TCQ,Complexes Immuns Circulants à IgG (C1q) - (Test au C1q),Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351896/complexes-immuns-circulants-a-igg-c1q-test-au-c1q | discipline: Biologie Clinique > Chimie Clinique > Immunité non infectieuse - Auto-immunité
CRIX,Cristaux Liquide ponction,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_20346626/cristaux-liquide-ponction | discipline: Biologie Clinique > Chimie Clinique > Lithiases-Cristallurie
ANO,"Catécholamines plasmatiques (Noradrénaline, Adrénaline, Dopamine)",Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351943/catecholamines-plasmatiques-noradrenaline-adrenaline-dopamine | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse
UAN,Catécholamines urinaires,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_351641/catecholamines-urinaires | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse
CORHMS,Cortisol,Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c2_28297464/cortisol | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse
CORS,Cortisol (Salive),Chimie,,,,,source_url: https://www.chu.ulg.ac.be/jcms/c_4621082/cortisol-salive | discipline: Biologie Clinique > Chimie Clinique > Spectrométrie de masse
